date,rank,artist,title,streams,streams7,total_streams,url
2026-05-22,84,Drake,B's On The Table,1854379,16609174,23880734,https://kworb.net/spotify/track/4ygJHbpMGwZknVFaRikdFr.html
2026-05-22,85,Drake,Make Them Cry,1851580,20135135,33354156,https://kworb.net/spotify/track/55wlsNYqcfiQsHuX8l0jmF.html
2026-05-22,86,Bad Bunny,EoO,1848512,11631750,1103115277,https://kworb.net/spotify/track/6J5kc12BW5HuP3d7C3vvx8.html
2026-05-22,87,Coldplay,Yellow,1831630,12344557,3023783821,https://kworb.net/spotify/track/3AJwUDP919kvQ9QcozQPxg.html
2026-05-22,88,Arctic Monkeys,505,1824403,12355062,2348152692,https://kworb.net/spotify/track/58ge6dfP91o9oXMzq3XkIS.html
2026-05-22,89,Zara Larsson,Midnight Sun,1824292,11456435,183533734,https://kworb.net/spotify/track/1qRV1dKLOfH1s00b9J2LUQ.html
2026-05-22,90,Linkin Park,In the End,1819446,11790151,1535925622,https://kworb.net/spotify/track/60a0Rd6pjrkxjPbaKzXjfq.html
2026-05-22,91,Omar Courtz,KOKO,1789783,11818728,113530034,https://kworb.net/spotify/track/1tz7RZirwiuaJw2p0jbdHb.html
2026-05-22,92,ROSÉ,APT.,1774829,11351414,2393280671,https://kworb.net/spotify/track/4wJ5Qq0jBN4ajy7ouZIV1c.html
2026-05-22,93,HUGEL,Jamaican (Bam Bam),1770543,10119667,70023617,https://kworb.net/spotify/track/7e4zDInS6tA2jwzphvs2Ay.html
2026-05-22,94,Bruno Mars,Just the Way You Are,1769116,11961133,1782422505,https://kworb.net/spotify/track/7BqBn9nzAq8spo5e7cZ0dJ.html
2026-05-22,95,Bad Bunny,Tití Me Preguntó,1741139,10857709,1543222122,https://kworb.net/spotify/track/1IHWl5LamUGEuP4ozKQSXZ.html
2026-05-22,96,Michael Jackson,The Way You Make Me Feel - 2012 Remaster,1731473,11765497,48627486,https://kworb.net/spotify/track/76HKOVWqsEg26SECtmw7Rz.html
2026-05-22,97,Bruno Mars,That's What I Like,1731249,11456090,1915977570,https://kworb.net/spotify/track/0KKkJNfGyhkQ5aFogxQAPU.html
2026-05-22,98,Drake,Make Them Pay,1725938,16991221,24673672,https://kworb.net/spotify/track/57rkFdhoKjgkg16fsS4pgg.html
2026-05-22,99,Fuerza Regida,TU SANCHO,1722304,12710754,601668161,https://kworb.net/spotify/track/6eLQXa6uk2EW8drsiKbABZ.html
2026-05-22,100,Shakira,Hips Don't Lie,1716177,10643475,521820918,https://kworb.net/spotify/track/3ZFTkvIE7kyPt6Nu3PEa7V.html
2026-05-22,101,sombr,12 to 12,1709478,10907951,642687356,https://kworb.net/spotify/track/05od2qm2MTSKCHxy1GBp5W.html
