date,rank,artist,title,streams,streams7,total_streams,url
2026-05-22,144,The Weeknd,Blinding Lights,1526450,10208826,5334955845,https://kworb.net/spotify/track/0VjIjW4GlUZAMYd2vXMi3b.html
2026-05-22,145,Natasha Bedingfield,Unwritten,1526305,8305844,852030391,https://kworb.net/spotify/track/3U5JVgI2x4rDyHGObzJfNf.html
2026-05-22,146,The Kid LAROI,Stay,1510756,10000192,3349304098,https://kworb.net/spotify/track/5PjdY0CKGZdEuoNab3yDmX.html
2026-05-22,147,Linkin Park,Numb,1510413,9772748,1104694173,https://kworb.net/spotify/track/2nLtzopw4rPReszdYBJU6h.html
2026-05-22,148,BTS,Like Animals,1506050,10491039,158340402,https://kworb.net/spotify/track/2IFND3phjzIG1RcPnHh2hP.html
2026-05-22,149,KATSEYE,Gabriela,1504608,10384935,811852113,https://kworb.net/spotify/track/1xOqGUkyxGQRdCvGpvWKmL.html
2026-05-22,150,OneRepublic,Counting Stars,1499839,10463507,2458805566,https://kworb.net/spotify/track/2tpWsVSb9UEmDRxAl1zhX1.html
2026-05-22,151,Rihanna,We Found Love,1482727,8062253,1060274358,https://kworb.net/spotify/track/1zv3WFUbZ5vPxFq9I2jAU1.html
2026-05-22,152,French Montana,Unforgettable,1480483,8101005,1476994901,https://kworb.net/spotify/track/3B54sVLJ402zGa6Xm4YGNe.html
2026-05-22,153,Justin Bieber,Love Yourself,1478588,10456723,1154682560,https://kworb.net/spotify/track/3hB5DgAiMAQ4DzYbsMq1IT.html
2026-05-22,154,Maroon 5,Payphone,1468796,9895373,847312520,https://kworb.net/spotify/track/1XGmzt0PVuFgQYYnV2It7A.html
2026-05-22,155,Guns N' Roses,Sweet Child O' Mine,1466180,9696601,589620207,https://kworb.net/spotify/track/7snQQk1zcKl8gZ92AnueZW.html
2026-05-22,156,She & Him,I Thought I Saw Your Face Today,1459017,9945403,364417826,https://kworb.net/spotify/track/0myRViRgmQ3J8izICXEAVO.html
2026-05-22,157,TOTO,Africa,1453080,8383406,739149498,https://kworb.net/spotify/track/2374M0fQpWi3dLnB54qaLX.html
2026-05-22,158,BTS,Aliens,1449565,10049020,155838443,https://kworb.net/spotify/track/5tg21NdePCn5m8F9BXOEeJ.html
2026-05-22,159,The Jackson 5,I Want You Back,1446354,10085937,36755889,https://kworb.net/spotify/track/5LxvwujISqiB8vpRYv887S.html
2026-05-22,160,Rihanna,Only Girl (In The World),1437604,6685895,252314014,https://kworb.net/spotify/track/2ENexcMEMsYk0rVJigVD3i.html
2026-05-22,161,The Chainsmokers,Something Just Like This,1437063,6763582,2550454316,https://kworb.net/spotify/track/6RUKPb4LETWmmr3iAEQktW.html
2026-05-22,162,Don Toliver,E85,1432092,8545709,201888041,https://kworb.net/spotify/track/3B4cjvGlPvyBLNG3AzEgkZ.html
2026-05-22,163,Tame Impala,The Less I Know The Better,1428960,9832783,572567596,https://kworb.net/spotify/track/6K4t31amVTZDgR3sKmwUJJ.html
2026-05-22,164,Katy Perry,Last Friday Night (T.G.I.F.),1427393,9399331,167040366,https://kworb.net/spotify/track/3avYqdwHKEq8beXbeWCKqJ.html
2026-05-22,165,W Sound,La Plena - W Sound 05,1427264,5453771,1084364435,https://kworb.net/spotify/track/6iOndD4OFo7GkaDypWQIou.html
2026-05-22,166,Glass Animals,Heat Waves,1422566,9228686,3020154251,https://kworb.net/spotify/track/02MWAaffLxlfxAUY7c5dvx.html
2026-05-22,167,KAROL G,Si Antes Te Hubiera Conocido,1418446,9333167,1681031470,https://kworb.net/spotify/track/6WatFBLVB0x077xWeoVc2k.html
2026-05-22,168,Justin Bieber,That Should Be Me,1413840,9648764,71425715,https://kworb.net/spotify/track/0aPZbnkMoWJaJ5CNVLCj8S.html
2026-05-22,169,Drake,Make Them Know,1410881,13779481,18798304,https://kworb.net/spotify/track/1xO3PpGchMqMmmF6OEtH5Y.html
2026-05-22,170,sombr,undressed,1408974,6677310,904794908,https://kworb.net/spotify/track/0TFTAtCYhp2tQ9KcJIZb55.html
2026-05-22,171,Ed Sheeran,Perfect,1407552,9355630,3616056135,https://kworb.net/spotify/track/0tgVpDi06FyKpA1z0VMD4v.html
2026-05-22,172,Fuerza Regida,Marlboro Rojo,1406994,9998850,653792005,https://kworb.net/spotify/track/3hpm0fTeSqlhJbnqAgaLZs.html
2026-05-22,173,AC/DC,Thunderstruck,1393066,4056565,129703103,https://kworb.net/spotify/track/57bgtoPSgt236HzfBOd8kj.html
2026-05-22,174,The Chainsmokers,Closer,1390003,7979017,2309937322,https://kworb.net/spotify/track/7BKLCZ1jbUBVqRi2FVlTVw.html
2026-05-22,175,Drake,Passionfruit,1388841,9395687,540184791,https://kworb.net/spotify/track/7hDc8b7IXETo14hHIHdnhd.html
2026-05-22,176,Eminem,Without Me,1388307,6615845,2115543604,https://kworb.net/spotify/track/7lQ8MOhq6IN2w8EYcFNSUk.html
2026-05-22,177,The Weeknd,Timeless,1388136,9753359,1519266807,https://kworb.net/spotify/track/0FIDCNYYjNvPVimz5icugS.html
2026-05-22,178,Charlie Puth,We Don't Talk Anymore,1388131,7893902,866526658,https://kworb.net/spotify/track/06KyNuuMOX1ROXRhj787tj.html
2026-05-22,179,Mac Miller,Cinderella,1387829,5528247,5528247,https://kworb.net/spotify/track/2lpygKqzPFtItQ4ss3cgfb.html
2026-05-22,180,Tears For Fears,Everybody Wants To Rule The World,1382174,1382174,1317114361,https://kworb.net/spotify/track/4RvWPyQ5RL0ao9LPZeSouE.html
2026-05-22,181,Bruno Mars,When I Was Your Man,1375032,8069157,1766177640,https://kworb.net/spotify/track/0B7wvvmu9EISAwZnOpjhNI.html
2026-05-22,182,Dexter and The Moonrocks,Freakin’ Out,1368365,7070755,29641712,https://kworb.net/spotify/track/2SaWT781xr3hHLdbVt5DB7.html
2026-05-22,183,a-ha,Take on Me - 2015 Remaster,1365778,2680978,31876689,https://kworb.net/spotify/track/04aigH9HRGebQZu1JAN6X1.html
2026-05-22,184,Rihanna,S&M,1362055,1362055,59716195,https://kworb.net/spotify/track/7ySUcLPVX7KudhnmNcgY2D.html
2026-05-22,185,Kings of Leon,Sex on Fire,1356854,1356854,90702910,https://kworb.net/spotify/track/0ntQJM78wzOLVeCUAW7Y45.html
2026-05-22,186,Michael Jackson,P.Y.T. (Pretty Young Thing),1347992,9126783,26416202,https://kworb.net/spotify/track/1CgmY8fVN7kstVDZmsdM5k.html
2026-05-22,187,Gotye,Somebody That I Used To Know,1344027,9306425,170058592,https://kworb.net/spotify/track/1qDrWA6lyx8cLECdZE7TV7.html
2026-05-22,188,Shawn Mendes,There's Nothing Holdin' Me Back,1341912,7106207,783128597,https://kworb.net/spotify/track/79cuOz3SPQTuFrp8WgftAu.html
